ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
5F8DC2607ECC7013,electric_bike,2023-12-31 23:53:59.614,2024-01-01 00:01:41.802,Duffield St & Willoughby St,4596.05,DeKalb Ave & Vanderbilt Ave,4461.04,40.69221,-73.97421,40.68941,-73.95994,member
49392C8715130ED0,electric_bike,2023-12-31 23:48:14.481,2024-01-01 00:01:41.839,W 43 St & 10 Ave,6756.01,Pier 40 - Hudson River Park,5696.03,40.76009,-73.98377,40.72771,-73.9992,member
95F4975A99BC55F2,electric_bike,2023-12-31 23:44:57.726,2024-01-01 00:01:43.354,40 Ave & Crescent St,6462.05,Warren St & Roosevelt Ave,6346.02,40.7536,-73.93135,40.74919,-73.86889,casual
8185CDE1D87CE720,electric_bike,2023-12-31 23:46:43.477,2024-01-01 00:01:44.195,Maiden Ln & Pearl St,5065.1,E 13 St & 2 Ave,5820.08,40.70707,-73.99552,40.73154,-73.97515,member
D2D82B88778053EA,electric_bike,2023-12-31 23:54:54.776,2024-01-01 00:01:44.226,Duffield St & Willoughby St,4596.05,DeKalb Ave & Vanderbilt Ave,4461.04,40.69221,-73.97421,40.68941,-73.95994,casual
B3BABDF440B1C17C,electric_bike,2023-12-31 23:57:33.892,2024-01-01 00:01:47.361,McGuinness Blvd & Eagle St,5977.01,45 Ave & 21 St,6319.07,40.73555,-73.94512,40.74737,-73.94044,member
BC4AAEA38387E29B,classic_bike,2023-12-31 23:48:50.702,2024-01-01 00:01:52.606,E 23 St & 1 Ave,5929.01,8 Ave & W 27 St,6297.07,40.7365,-73.96848,40.74797,-73.98564,member
E4EAF5F2E3E74269,electric_bike,2023-12-31 23:52:45.212,2024-01-01 00:01:53.254,Broadway & W 133 St,7903.02,Lexington Ave & E 120 St,7652.04,40.81903,-73.94819,40.80131,-73.93307,member
C45268B7D2A83025,classic_bike,2023-12-31 23:33:43.624,2024-01-01 00:02:29.611,8 Ave & W 33 St,6450.12,W 44 St & 5 Ave,6551.02,40.75155,-73.98314,40.755,-73.97038,casual
E042D5DD98FB9994,classic_bike,2023-12-31 23:55:41.311,2024-01-01 00:02:33.450,N 5 St & Northside Piers,5458.02,Greenpoint Ave & Manhattan Ave,5785.05,40.71988,-73.95532,40.73026,-73.94614,member
66D5267CE6DA24F1,electric_bike,2023-12-31 23:55:02.363,2024-01-01 00:02:36.614,N 5 St & Northside Piers,5458.02,Greenpoint Ave & Manhattan Ave,5785.05,40.71988,-73.95532,40.73026,-73.94614,casual
2C36931EED100C40,electric_bike,2023-12-31 23:53:26.919,2024-01-01 00:02:37.142,St James Pl & Pearl St,5167.06,Clinton St & Cherry St,5190.09,40.71117,-73.98891,40.71147,-73.97647,casual
295D9761BBFB9DC1,classic_bike,2023-12-31 23:47:24.734,2024-01-01 00:02:37.225,Kent Ave & Division Ave,5021.05,Clermont Ave & Lafayette Ave,4461.01,40.70656,-73.95944,40.68764,-73.96071,casual
4202AB08870C305F,electric_bike,2023-12-31 23:55:58.357,2024-01-01 00:02:39.746,8 Ave & W 38 St,6526.05,E 40 St & 5 Ave,6474.11,40.75461,-73.98114,40.75206,-73.97176,member
7B91E01491E905A0,classic_bike,2023-12-31 23:52:48.642,2024-01-01 00:02:40.686,44 Dr & Jackson Ave,6352.01,Center Blvd & 48 Ave,6254.06,40.74718,-73.93626,40.74504,-73.94947,member
E244904983868338,electric_bike,2023-12-31 23:56:03.257,2024-01-01 00:02:43.701,Anthony Ave & E Tremont Ave,8356.04,Crotona Pkwy & Bronx Park S,8325.12,40.84879,-73.89919,40.84784,-73.88052,casual
7CAAA8747C50FE9B,classic_bike,2023-12-31 23:53:13.176,2024-01-01 00:02:51.562,44 Dr & Jackson Ave,6352.01,Center Blvd & 48 Ave,6254.06,40.74718,-73.93626,40.74504,-73.94947,casual
28A044582A357AB7,electric_bike,2023-12-31 23:53:05.782,2024-01-01 00:02:56.349,Fulton St & Adams St,4637.06,Washington Ave & Park Ave,4724.03,40.69242,-73.97903,40.6961,-73.95869,member
A8388D429452041F,electric_bike,2023-12-31 23:34:34.557,2024-01-01 00:02:57.096,Amsterdam Ave & W 73 St,7260.09,W 20 St & 7 Ave,6182.02,40.77967,-73.97111,40.74239,-73.98622,casual
64A8475A2285FB12,electric_bike,2023-12-31 23:58:32.482,2024-01-01 00:02:57.279,W 22 St & 8 Ave,6224.03,W 13 St & 7 Ave,6030.04,40.74475,-73.98797,40.73782,-73.9887,casual
F4F96262CB19101D,electric_bike,2023-12-31 23:57:38.801,2024-01-01 00:02:58.142,E 141 St & St Ann's Ave,7722.06,St Mary's St & Jackson Ave,7737.06,40.80863,-73.91116,40.80889,-73.90624,member
26CB2F44689E0939,classic_bike,2023-12-31 23:59:22.997,2024-01-01 00:02:58.651,State St & Smith St,4522.07,Schermerhorn St & Court St,4565.07,40.68917,-73.9782,40.69104,-73.98136,member
E16F81EE7DFECA27,electric_bike,2023-12-31 23:58:23.422,2024-01-01 00:02:58.973,Bayard St & Leonard St,5442.05,S 3 St & Bedford Ave,5235.05,40.71915,-73.94144,40.7126,-73.95419,member
F87288D6A03BE2D8,classic_bike,2023-12-31 23:48:47.617,2024-01-01 00:02:59.236,8 Ave & W 33 St,6450.12,W 47 St & 10 Ave,6824.07,40.75155,-73.98314,40.7627,-73.98228,member
B10ACDA402294600,electric_bike,2024-01-01 00:01:54.919,2024-01-01 00:03:03.428,E 138 St & Park Ave,7803.02,Lincoln Ave & E 138 St,7744.06,40.81264,-73.9233,40.81089,-73.92151,casual
BBEE0D6002161D8B,electric_bike,2023-12-31 23:54:15.243,2024-01-01 00:03:05.500,Tiebout Ave & E 184 St,8510.02,Walton Ave & E 168 St,8179.03,40.8585,-73.89288,40.83649,-73.91319,member
263F68BC2BE10E6E,electric_bike,2023-12-31 23:32:22.395,2024-01-01 00:03:10.110,9 Ave & W 45 St,6717.06,35 St & 23 Ave,7047.07,40.76019,-73.98066,40.77301,-73.90659,member
6A9EBD6E2272604D,classic_bike,2023-12-31 23:56:44.483,2024-01-01 00:03:12.647,Cooper Square & Astor Pl,5712.03,E 5 St & Ave C,5545.04,40.72952,-73.98019,40.72299,-73.97021,member
054329C4A0E3A980,electric_bike,2023-12-31 23:47:50.619,2024-01-01 00:03:21.659,Metropolitan Ave & Bedford Ave,5308.04,Greene Ave & Grandview Ave,5106.04,40.71535,-73.95197,40.7097,-73.90351,member
A63A13A81442DF92,electric_bike,2023-12-31 23:58:11.270,2024-01-01 00:03:27.786,W 45 St & 8 Ave,6676.02,W 45 St & 8 Ave,6676.02,40.75929,-73.9782,40.75929,-73.9782,casual
0C49D38AF76A3559,electric_bike,2023-12-31 23:51:43.805,2024-01-01 00:03:27.787,Centre St & Chambers St,5207.01,1 Pl & Clinton St,4193.14,40.71273,-73.99301,40.68096,-73.98788,casual
A035D46272CD152C,electric_bike,2023-12-31 23:29:52.956,2024-01-01 00:03:33.958,E 81 St & York Ave,7084.12,E 33 St & 5 Ave,6322.01,40.77284,-73.9424,40.74766,-73.97478,casual
F1137D5B440B52D7,electric_bike,2023-12-31 23:31:27.710,2024-01-01 00:03:34.137,St Nicholas Ave & Manhattan Ave,7723.01,E 13 St & Ave A,5779.09,40.80972,-73.94541,40.72967,-73.97088,casual
AC5B661BF6AA5A96,electric_bike,2023-12-31 23:18:33.898,2024-01-01 00:03:36.633,Clarkson Ave & E 37 St,3463.01,Matthews Ct & Coney Island Ave,3034.02,40.65577,-73.9362,40.64235,-73.96055,member
4953ADBD3374AA62,electric_bike,2023-12-31 23:31:11.131,2024-01-01 00:03:40.148,E 81 St & York Ave,7084.12,E 33 St & 5 Ave,6322.01,40.77284,-73.9424,40.74766,-73.97478,casual
3D474FED5D61F251,electric_bike,2023-12-31 23:17:57.830,2024-01-01 00:03:49.922,W 50 St & 10 Ave,6890.06,Frederick Douglass Blvd & W 115 St,7658.13,40.76473,-73.9813,40.80386,-73.94798,member
AC2D2A071578FF72,electric_bike,2023-12-31 23:50:53.710,2024-01-01 00:03:51.397,Frederick Douglass Blvd & W 115 St,7658.13,Central Park West & W 68 St,7079.06,40.80386,-73.94798,40.77341,-73.96824,member
E51BF68CD718FCBC,electric_bike,2023-12-31 23:58:23.459,2024-01-01 00:03:54.450,W 27 St & 7 Ave,6247.06,W 27 St & 7 Ave,6247.06,40.74665,-73.98312,40.74665,-73.98312,casual
E33BA75582696FB7,electric_bike,2023-12-31 23:47:17.814,2024-01-01 00:03:57.441,Carmine St & 6 Ave,5763.03,11 Ave & W 27 St,6425.04,40.73038,-73.99074,40.7514,-73.99358,member
DE6A49F702FC7D18,electric_bike,2023-12-31 23:51:04.590,2024-01-01 00:03:59.080,Frederick Douglass Blvd & W 115 St,7658.13,Central Park West & W 68 St,7079.06,40.80386,-73.94798,40.77341,-73.96824,member
DAFA7449ABD84260,classic_bike,2023-12-31 23:28:51.060,2024-01-01 00:03:59.143,St Marks Pl & 1 Ave,5626.13,E 7 St & Ave A,5626.07,40.72779,-73.97547,40.72622,-73.97376,member
234824B699661651,electric_bike,2023-12-31 23:49:28.777,2024-01-01 00:04:01.388,Hoyt St & Warren St,4330.09,McKibbin St & Manhattan Ave,4996.08,40.68435,-73.97859,40.70511,-73.93701,member
